Museum ID,Museum Name,Museum Type,Institution Name,City (Administrative Location),State (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Income,Revenue
8402601001,BIRMINGHAM HISTORICAL SOCIETY,HISTORIC PRESERVATION,,BEVERLY HILLS,MI,,,,0.0,0.0
8402601069,BLACK RIVER AREA ANTIQUE POWER CLUB,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,SANDUSKY,MI,,,,0.0,0.0
8402600541,BLISSFIELD AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,BLISSFIELD,MI,,,,0.0,0.0
8402600365,BLOOMINGDALE AREA HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,,BLOOMINGDALE,MI,,,,0.0,0.0
8409502863,BOBBIT VISUAL ARTS CENTER,ART MUSEUM,ALBION COLLEGE,ALBION,MI,,,,80878922.0,67265022.0
8402601046,BOHM THEATRE,HISTORIC PRESERVATION,,ALBION,MI,201 S SUPERIOR STREET,ALBION,MI,96400.0,96400.0
8402600652,BOIS BLANC ISLAND HISTORICAL SOCIETY,HISTORIC PRESERVATION,,POINTE AUX PINS,MI,,,,0.0,0.0
8402600695,BOSTON-SARANAC HISTORICAL SOCIETY,HISTORIC PRESERVATION,,SARANAC,MI,,,,74526.0,26251.0
8402600917,BOTANICAL GARDEN SOCIETY OF NORTHWEST MICHIGAN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,TRAVERSE CITY,MI,1490 RED DR,TRAVERSE CITY,MI,349415.0,349415.0
8402600807,BRECKENRIDGE-WHEELER AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,BRECKENRIDGE,MI,404 E SAGINAW,BRECKENRIDGE,MI,0.0,0.0
8402600846,BRETHREN HERITAGE ASSOCIATION,HISTORIC PRESERVATION,,BRETHREN,MI,,,,0.0,0.0
8402600443,BRIDGEPORT HISTORICAL SOCIETY,HISTORIC PRESERVATION,,BRIDGEPORT,MI,6190 DIXIE HWY,BRIDGEPORT,MI,91738.0,91738.0
8402600629,BRIGHTON AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,BRIGHTON,MI,,,,0.0,0.0
8402600932,BROADWAY,HISTORIC PRESERVATION,,MT PLEASANT,MI,216 EAST BROADWAY STREET,MT PLEASANT,MI,76936.0,76936.0
